نام,آدرس,نوع پست,ظرفیت,فیدر,کد شناسایی
هایپر مارکت,بلوارانصاری کوی امام رضا ,عمومی و اختصاصی,500,شهید مقدم - فیدر دیلمان,E3101@00000SB00565
پست RMU  طناب بافی خزر گیل,طناب بافی خزر گیل,اختصاصی,0,پوشش - فیدر هلال احمر,E3101@00000SB00574
فرهنگ و ارشاد,ابتدای امین الضرب -تالار فرهنگ و ارشاد,اختصاصی,0,معلم - فیدر انصاری,E3101@00000SB00576
آتیه1,بلوار نماز نماز جنب داروخانه آتیه,عمومی و اختصاصی,1250,قلی پور - فیدر یادگار امام,E3101@00000SB00577
آتیه2,بوارنماز جنب داروخانه آتیه,عمومی و اختصاصی,800,قلی پور - فیدر یادگار امام,E3101@00000SB00578
RMU رفاهی,جاده انزلی به8ارستان غربی11,اختصاصی,0,پوشش - فیدر خمام,E3101@00000SB00579
رستوران سپیدار,کماکل رستوران سپیدار,اختصاصی,0,توحید - فیدر پیربازار,E3101@00000SB00580
بانک سپه,خیابان 110 بانک سپه,اختصاصی,0,شهید مقدم - فیدر گلسار 7,E3101@00000SB00581
حق شناس,دیانتی خیابان استقلال ,عمومى,1000,شهید مقدم - فیدر دیانتی,E3101@00000SB00582
مجتمع مسکونی گلفام,خیابان میرابوالقاسمی مجتمع گلفام,عمومى,500,توحید - فیدر استاد معین,E3101@00000SB00583
عمران مسکن دوم,گلسار بین خیابان 92 و 96,عمومی و اختصاصی,800,قلی پور - فیدر فرهنگیان,E3101@00000SB00584
عمران مسکن یکم,گلسار مابین خیابان 92 و 96 ,عمومی و اختصاصی,800,قلی پور - فیدر فرهنگیان,E3101@00000SB00585
جنب ساختمان کهن,گلسار بلوار سمیه جنب ساختمان کهن,عمومی و اختصاصی,500,شهید مقدم - فیدر گلسار 6,E3101@00000SB00657
پست آب نمای بوستان ملت,بوستان ملت,اختصاصی,0,معلم - فیدر انصاری,E3101@00000SB00675
خیابان بوسار,بین پل قلی پور و خیابان بوسار,عمومى,1250,قلی پور - فیدر بوسار,E3101@00000SB00676
